emotion_a,emotion_b,true_cooccurrence_count
desire,surprise,1
embarrassment,joy,1
fear,grief,1
excitement,nervousness,1
fear,pride,1
excitement,fear,1
caring,grief,1
embarrassment,optimism,1
gratitude,grief,1
caring,embarrassment,1
annoyance,remorse,1
embarrassment,love,1
confusion,relief,1
anger,nervousness,1
embarrassment,excitement,1
disgust,relief,1
disgust,gratitude,1
disgust,excitement,1
grief,remorse,1
caring,disappointment,1
approval,pride,1
disapproval,pride,1
disapproval,nervousness,1
anger,grief,1
embarrassment,grief,1
